최민구, 삼성, 0.000, -, 0.000, -, -, 0.000, -0.03
홍성무(타자), kt, 0.000, -, 0.000, -, -, 0.000, -0.03
박용근, kt, 0.328, 0.263, 0.325, 0.342, 0.667, 0.304, -0.04
서동욱, 넥센, 0.382, 0.233, 0.325, 0.369, 0.694, 0.314, -0.04
김준완, NC, 0.294, 0.227, 0.370, 0.227, 0.597, 0.308, -0.04
강구성, NC, 0.200, 0.200, 0.200, 0.400, 0.600, 0.242, -0.04
지성준, 한화, 0.429, 0.250, 0.250, 0.333, 0.583, 0.251, -0.05
최병연, KIA, 0.250, 0.167, 0.286, 0.167, 0.453, 0.233, -0.05
안중열, kt, 0.182, 0.148, 0.179, 0.185, 0.364, 0.167, -0.05
이해창, kt, 0.000, 0.000, 0.250, 0.000, 0.250, 0.182, -0.05
박철우, SK, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
윤영수, 삼성, -, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
전현태, KIA, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
황진수, 롯데, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
윤여운, kt, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
강민국, NC, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.06
김주현, 롯데, 0.327, 0.260, 0.308, 0.397, 0.705, 0.310, -0.07
모상기, kt, 0.375, 0.231, 0.333, 0.231, 0.564, 0.282, -0.07
오현근, 롯데, 0.273, 0.214, 0.353, 0.286, 0.639, 0.312, -0.07
류지혁, 두산, 0.500, 0.200, 0.200, 0.200, 0.400, 0.180, -0.07
채기영, 한화, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.07
황수현, KIA, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.07
황동채, 롯데, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.07
윤규진(타자), 한화, -, 0.000, 0.000, 0.000, 0.000, 0.000, -0.07
유선정, 넥센, 0.300, 0.240, 0.296, 0.240, 0.536, 0.257, -0.08
윤중환, SK, 0.278, 0.240, 0.321, 0.360, 0.681, 0.310, -0.08
강병의, LG, 0.500, 0.333, 0.333, 0.333, 0.666, 0.300, -0.09
이영욱, 삼성, 0.417, 0.227, 0.346, 0.318, 0.664, 0.313, -0.09
신성현, 한화, 0.352, 0.225, 0.313, 0.373, 0.686, 0.309, -0.09
김태진, NC, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.09
송성문, 넥센, 0.333, 0.250, 0.250, 0.250, 0.500, 0.225, -0.10
국해성, 두산, 0.188, 0.200, 0.280, 0.400, 0.680, 0.286, -0.10
임익준, 한화, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.10
김재율, LG, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.10
황윤호, NC, 0.000, 0.000, 0.167, 0.000, 0.167, 0.127, -0.11
이여상, 롯데, 0.000, 0.000, 0.167, 0.000, 0.167, 0.127, -0.11
김태완, 삼성, 0.000, 0.000, 0.167, 0.000, 0.167, 0.127, -0.11
오준혁, 한화, -, 0.000, 0.000, 0.000, 0.000, 0.000, -0.11
박광열, NC, 0.375, 0.286, 0.273, 0.333, 0.606, 0.260, -0.12
윤요섭, kt, 0.294, 0.264, 0.293, 0.473, 0.766, 0.322, -0.12
강봉규, 삼성, 0.000, 0.000, 0.250, 0.000, 0.250, 0.186, -0.12
김재성, LG, 0.000, 0.000, 0.143, 0.000, 0.143, 0.109, -0.13
김재유, 롯데, 0.167, 0.111, 0.200, 0.111, 0.311, 0.163, -0.14
백민기, 롯데, 0.000, 0.000, 0.222, 0.000, 0.222, 0.165, -0.15
장영석, 넥센, 0.167, 0.125, 0.125, 0.125, 0.250, 0.113, -0.16
박준서, 롯데, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.16
송광민, 한화, 0.346, 0.243, 0.300, 0.297, 0.597, 0.274, -0.17
박준태, KIA, 0.239, 0.167, 0.353, 0.227, 0.580, 0.297, -0.17
강동수, 롯데, 0.500, 0.125, 0.125, 0.125, 0.250, 0.113, -0.17
노수광, KIA, 0.200, 0.083, 0.214, 0.167, 0.381, 0.195, -0.17
이민재, LG, 0.348, 0.267, 0.303, 0.300, 0.603, 0.273, -0.18
양종민, 두산, 0.100, 0.125, 0.222, 0.313, 0.535, 0.240, -0.18
이진영, LG, 0.285, 0.256, 0.351, 0.369, 0.720, 0.324, -0.20
김준태, 롯데, 0.286, 0.154, 0.267, 0.154, 0.421, 0.222, -0.20
윤병호, NC, 0.200, 0.111, 0.111, 0.111, 0.222, 0.100, -0.20
이지찬, kt, 0.273, 0.231, 0.268, 0.282, 0.550, 0.250, -0.21
용덕한, kt, 0.266, 0.224, 0.269, 0.306, 0.575, 0.258, -0.21
김동욱, kt, 0.286, 0.196, 0.369, 0.255, 0.624, 0.309, -0.21
차일목, KIA, 0.211, 0.174, 0.240, 0.174, 0.414, 0.205, -0.21
이종환, 한화, 0.377, 0.310, 0.341, 0.345, 0.686, 0.311, -0.22
이시찬, 한화, 0.333, 0.281, 0.324, 0.297, 0.621, 0.286, -0.22
나주환, SK, 0.313, 0.268, 0.307, 0.390, 0.697, 0.305, -0.22
송민섭, kt, 0.355, 0.250, 0.283, 0.364, 0.647, 0.279, -0.22
이우민, 롯데, 0.298, 0.227, 0.306, 0.340, 0.646, 0.293, -0.22
김종민, kt, 0.241, 0.219, 0.286, 0.219, 0.505, 0.244, -0.22
황선일, 한화, 0.235, 0.174, 0.240, 0.261, 0.501, 0.228, -0.22
장시윤, 넥센, 0.400, 0.276, 0.276, 0.276, 0.552, 0.249, -0.23
신종길, KIA, 0.338, 0.262, 0.328, 0.377, 0.705, 0.314, -0.23
황목치승, LG, 0.306, 0.268, 0.284, 0.338, 0.622, 0.271, -0.24
김성욱, NC, 0.344, 0.258, 0.333, 0.363, 0.696, 0.314, -0.24
채은성, LG, 0.293, 0.249, 0.318, 0.405, 0.723, 0.315, -0.24
유서준, SK, 0.111, 0.083, 0.154, 0.083, 0.237, 0.128, -0.24
조윤준, LG, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.24
장준원, LG, 0.294, 0.208, 0.231, 0.208, 0.439, 0.203, -0.25
이창진, kt, 0.231, 0.158, 0.200, 0.211, 0.411, 0.189, -0.26
이상훈, 삼성, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.26
한상훈, 한화, 0.326, 0.230, 0.329, 0.295, 0.624, 0.295, -0.27
김지성, LG, 0.182, 0.143, 0.143, 0.286, 0.429, 0.176, -0.27
김정혁, 삼성, 0.200, 0.167, 0.211, 0.167, 0.378, 0.182, -0.28
윤진호, LG, 0.111, 0.083, 0.083, 0.083, 0.166, 0.075, -0.28
문우람*, 넥센, 0.289, 0.235, 0.314, 0.370, 0.684, 0.301, -0.29
조중근, kt, 0.241, 0.222, 0.282, 0.306, 0.588, 0.256, -0.29
최경철, LG, 0.278, 0.208, 0.291, 0.306, 0.597, 0.273, -0.29
이인행, KIA, 0.286, 0.200, 0.250, 0.200, 0.450, 0.217, -0.29
임병욱, 넥센, 0.368, 0.186, 0.327, 0.326, 0.653, 0.305, -0.29
김민식, SK, 0.182, 0.167, 0.231, 0.167, 0.398, 0.197, -0.29
김재현, SK, 0.154, 0.105, 0.150, 0.211, 0.361, 0.150, -0.29
김태완, 한화, 0.367, 0.239, 0.300, 0.283, 0.583, 0.270, -0.32
이종환, KIA, 0.300, 0.188, 0.278, 0.250, 0.528, 0.252, -0.33
허도환, 한화, 0.246, 0.176, 0.272, 0.286, 0.558, 0.258, -0.33
김영환, kt, 0.278, 0.229, 0.245, 0.292, 0.537, 0.238, -0.36
김강민, SK, 0.329, 0.246, 0.315, 0.345, 0.660, 0.298, -0.38
이흥련, 삼성, 0.293, 0.238, 0.252, 0.333, 0.585, 0.254, -0.39
이성우, KIA, 0.253, 0.222, 0.271, 0.316, 0.587, 0.258, -0.39
